Report Date,SimFinId,Currency,Fiscal Year,Fiscal Period,Publish Date,Restated Date,Shares (Basic),Shares (Diluted),Net Income/Starting Line,Depreciation & Amortization,Non-Cash Items,Change in Working Capital,Change in Accounts Receivable,Change in Inventories,Change in Accounts Payable,Change in Other,Net Cash from Operating Activities,Change in Fixed Assets & Intangibles,Net Change in Long Term Investment,Net Cash from Acquisitions & Divestitures,Net Cash from Investing Activities,Dividends Paid,Cash from (Repayment of) Debt,Cash from (Repurchase of) Equity,Net Cash from Financing Activities,Net Change in Cash
2022-06-30,59265,USD,2022,Q4,2022-07-28,2023-04-25,7496000000.0,7540000000.0,16740000000.0,3979000000.0,2437000000.0,1473000000.0,,,,,24629000000,-6871000000.0,-457000000.0,-1263000000.0,-8932000000.0,-4632000000.0,0.0,-8296000000.0,-14066000000.0,1433000000
2022-09-30,59265,USD,2023,Q1,2022-10-25,2023-10-24,7457000000.0,7485000000.0,17556000000.0,2790000000.0,979000000.0,1873000000.0,,,,,23198000000,-6283000000.0,4360000000.0,-349000000.0,-2536000000.0,-4621000000.0,-1000000000.0,-4998000000.0,-11479000000.0,8953000000
2022-12-31,59265,USD,2023,Q2,2023-01-24,2024-01-30,7451000000.0,7473000000.0,16425000000.0,3648000000.0,1447000000.0,-10347000000.0,-3164000000.0,1305000000.0,-2058000000.0,-6430000000.0,11173000000,-6274000000.0,104000000.0,-679000000.0,-7150000000.0,-5066000000.0,-750000000.0,-5216000000.0,-11349000000.0,-7238000000
2023-03-31,59265,USD,2023,Q3,2023-04-25,2024-04-25,7441000000.0,7464000000.0,18299000000.0,3549000000.0,750000000.0,1843000000.0,,,,,24441000000,-6607000000.0,5330000000.0,-301000000.0,-1836000000.0,-5059000000.0,0.0,-4973000000.0,-11718000000.0,10916000000
2023-06-30,59265,USD,2023,Q4,2023-07-27,2024-04-25,7435000000.0,7466000000.0,20081000000.0,3874000000.0,572000000.0,4243000000.0,,,,,28770000000,-8943000000.0,419000000.0,-341000000.0,-9032000000.0,-5054000000.0,-1000000000.0,-5192000000.0,-11515000000.0,8142000000
2023-09-30,59265,USD,2024,Q1,2023-10-24,2024-10-30,7429000000.0,7462000000.0,22291000000.0,3921000000.0,1953000000.0,2418000000.0,,,,,30583000000,-9917000000.0,12588000000.0,-1186000000.0,1178000000.0,-5051000000.0,24265000000.0,-4146000000.0,14086000000.0,45748000000
2023-12-31,59265,USD,2024,Q2,2024-01-30,2025-01-29,7432000000.0,7468000000.0,21870000000.0,5959000000.0,1324000000.0,-10300000000.0,,,,,18853000000,-9735000000.0,1492000000.0,-65029000000.0,-73473000000.0,-5574000000.0,-633000000.0,-3739000000.0,-8599000000.0,-63147000000
2024-03-31,59265,USD,2024,Q3,2024-04-25,2025-04-30,7431000000.0,7472000000.0,21939000000.0,6027000000.0,1429000000.0,2522000000.0,,,,,31917000000,-10952000000.0,3108000000.0,-1575000000.0,-9917000000.0,-5572000000.0,-9047000000.0,-3691000000.0,-19591000000.0,2329000000
2024-06-30,59265,USD,2024,Q4,2024-07-30,2025-04-30,7432000000.0,7474000000.0,22036000000.0,6380000000.0,1595000000.0,7184000000.0,,,,,37195000000,-13873000000.0,749000000.0,-1342000000.0,-14769000000.0,-5574000000.0,-14010000000.0,-3676000000.0,-23642000000.0,-1319000000
2024-09-30,59265,USD,2025,Q1,2024-10-30,2025-10-29,7433000000.0,7470000000.0,24667000000.0,7383000000.0,1274000000.0,856000000.0,14037000000.0,-373000000.0,-916000000.0,-11892000000.0,34180000000,-14923000000.0,2484000000.0,-1849000000.0,-16090000000.0,-5574000000.0,-6712000000.0,-3401000000.0,-15687000000.0,2525000000
